Date,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner,home_team_rank,home_team_points,home_team_previous_points,away_team_rank,away_team_points,away_team_previous_points,Home Team Champion,Away Team Champion
1930-07-13,France,4.0,1.0,Mexico,1,4,1759.78,1764.85,13.0,1644.89,1649.57,1.0,0.0
1930-07-13,USA,3.0,0.0,Belgium,1,16,1627.48,1635.01,2.0,1816.71,1821.92,0.0,0.0
1930-07-14,Yugoslavia,2.0,1.0,Brazil,1,6,64.0,64.0,1.0,1841.3,1837.56,0.0,5.0
1930-07-14,Yugoslavia,2.0,1.0,Brazil,1,6,64.0,64.0,1.0,1841.3,1837.56,0.0,5.0
1930-07-14,Romania,3.0,1.0,Peru,1,53,1434.68,1427.84,23.0,1561.01,1562.24,0.0,0.0
1930-07-15,Argentina,1.0,0.0,France,1,3,1773.88,1770.65,4.0,1759.78,1764.85,2.0,1.0
1930-07-16,Chile,3.0,0.0,Mexico,1,29,1509.61,1514.86,13.0,1644.89,1649.57,0.0,0.0
1930-07-17,Yugoslavia,4.0,0.0,Bolivia,1,6,64.0,64.0,82.0,1296.28,1298.81,0.0,0.0
1930-07-17,Yugoslavia,4.0,0.0,Bolivia,1,6,64.0,64.0,82.0,1296.28,1298.81,0.0,0.0
1930-07-17,USA,3.0,0.0,Paraguay,1,16,1627.48,1635.01,47.0,1448.77,1440.13,0.0,0.0
1930-07-18,Uruguay,1.0,0.0,Peru,1,14,1638.71,1640.95,23.0,1561.01,1562.24,2.0,0.0
1930-07-19,Chile,1.0,0.0,France,1,29,1509.61,1514.86,4.0,1759.78,1764.85,0.0,1.0
1930-07-19,Argentina,6.0,3.0,Mexico,1,3,1773.88,1770.65,13.0,1644.89,1649.57,2.0,0.0
1930-07-20,Brazil,4.0,0.0,Bolivia,1,1,1841.3,1837.56,82.0,1296.28,1298.81,5.0,0.0
1930-07-20,Paraguay,1.0,0.0,Belgium,1,47,1448.77,1440.13,2.0,1816.71,1821.92,0.0,0.0
1930-07-21,Uruguay,4.0,0.0,Romania,1,14,1638.71,1640.95,53.0,1434.68,1427.84,2.0,0.0
1930-07-22,Argentina,3.0,1.0,Chile,1,3,1773.88,1770.65,29.0,1509.61,1514.86,2.0,0.0
1930-07-26,Argentina,6.0,1.0,USA,1,3,1773.88,1770.65,16.0,1627.48,1635.01,2.0,0.0
1930-07-27,Uruguay,6.0,1.0,Yugoslavia,1,14,1638.71,1640.95,6.0,64.0,64.0,2.0,0.0
1930-07-27,Uruguay,6.0,1.0,Yugoslavia,1,14,1638.71,1640.95,6.0,64.0,64.0,2.0,0.0
1930-07-30,Uruguay,4.0,2.0,Argentina,1,14,1638.71,1640.95,3.0,1773.88,1770.65,2.0,2.0
1934-05-27,Austria,3.0,2.0,France,1,34,1492.95,1502.47,4.0,1759.78,1764.85,0.0,1.0
1934-05-27,Hungary,4.0,2.0,Egypt,1,36,1492.2,1486.76,39.0,1486.44,1482.63,0.0,0.0
1934-05-27,Switzerland,3.0,2.0,Netherlands,1,15,1635.92,1621.43,8.0,1694.51,1679.41,0.0,0.0
1934-05-27,Sweden,3.0,2.0,Argentina,1,25,1553.33,1563.44,3.0,1773.88,1770.65,0.0,2.0
1934-05-27,Germany,5.0,2.0,Belgium,1,11,1650.21,1658.96,2.0,1816.71,1821.92,4.0,0.0
1934-05-27,Spain,3.0,1.0,Brazil,1,7,1715.22,1716.93,1.0,1841.3,1837.56,1.0,5.0
1934-05-27,Italy,7.0,1.0,USA,1,6,1726.14,1713.86,16.0,1627.48,1635.01,4.0,0.0
1934-05-27,Czechoslovakia,2.0,1.0,Romania,1,64,24.0,24.0,53.0,1434.68,1427.84,0.0,0.0
1934-05-27,Czechoslovakia,2.0,1.0,Romania,1,64,24.0,24.0,53.0,1434.68,1427.84,0.0,0.0
1934-05-31,Czechoslovakia,3.0,2.0,Switzerland,1,64,24.0,24.0,15.0,1635.92,1621.43,0.0,0.0
1934-05-31,Czechoslovakia,3.0,2.0,Switzerland,1,64,24.0,24.0,15.0,1635.92,1621.43,0.0,0.0
1934-05-31,Germany,2.0,1.0,Sweden,1,11,1650.21,1658.96,25.0,1553.33,1563.44,4.0,0.0
1934-05-31,Italy,1.0,1.0,Spain,0,6,1726.14,1713.86,7.0,1715.22,1716.93,4.0,1.0
1934-05-31,Austria,2.0,1.0,Hungary,1,34,1492.95,1502.47,36.0,1492.2,1486.76,0.0,0.0
1934-06-01,Italy,1.0,0.0,Spain,1,6,1726.14,1713.86,7.0,1715.22,1716.93,4.0,1.0
1934-06-03,Italy,1.0,0.0,Austria,1,6,1726.14,1713.86,34.0,1492.95,1502.47,4.0,0.0
1934-06-03,Czechoslovakia,3.0,1.0,Germany,1,64,24.0,24.0,11.0,1650.21,1658.96,0.0,4.0
1934-06-03,Czechoslovakia,3.0,1.0,Germany,1,64,24.0,24.0,11.0,1650.21,1658.96,0.0,4.0
1934-06-07,Germany,3.0,2.0,Austria,1,11,1650.21,1658.96,34.0,1492.95,1502.47,4.0,0.0
1934-06-10,Italy,2.0,1.0,Czechoslovakia,1,6,1726.14,1713.86,64.0,24.0,24.0,4.0,0.0
1934-06-10,Italy,2.0,1.0,Czechoslovakia,1,6,1726.14,1713.86,64.0,24.0,24.0,4.0,0.0
1938-06-04,Switzerland,1.0,1.0,Germany,0,15,1635.92,1621.43,11.0,1650.21,1658.96,0.0,4.0
1938-06-05,Hungary,6.0,0.0,Indonesia,1,36,1492.2,1486.76,152.0,1033.9,1019.19,0.0,0.0
1938-06-05,France,3.0,1.0,Belgium,1,4,1759.78,1764.85,2.0,1816.71,1821.92,1.0,0.0
1938-06-05,Cuba,3.0,3.0,Romania,0,167,978.65,978.65,53.0,1434.68,1427.84,0.0,0.0
1938-06-05,Italy,2.0,1.0,Norway,1,6,1726.14,1713.86,42.0,1473.04,1488.57,4.0,0.0
1938-06-05,Brazil,6.0,5.0,Poland,1,1,1841.3,1837.56,26.0,1548.59,1546.18,5.0,0.0
1938-06-05,Czechoslovakia,3.0,0.0,Netherlands,1,64,24.0,24.0,8.0,1694.51,1679.41,0.0,0.0
1938-06-05,Czechoslovakia,3.0,0.0,Netherlands,1,64,24.0,24.0,8.0,1694.51,1679.41,0.0,0.0
1938-06-09,Cuba,2.0,1.0,Romania,1,167,978.65,978.65,53.0,1434.68,1427.84,0.0,0.0
1938-06-09,Switzerland,4.0,2.0,Germany,1,15,1635.92,1621.43,11.0,1650.21,1658.96,0.0,4.0
1938-06-12,Brazil,1.0,1.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-12,Brazil,1.0,1.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-12,Hungary,2.0,0.0,Switzerland,1,36,1492.2,1486.76,15.0,1635.92,1621.43,0.0,0.0
1938-06-12,Sweden,8.0,0.0,Cuba,1,25,1553.33,1563.44,167.0,978.65,978.65,0.0,0.0
