Group,Home_team,Away_team,Home_win,Away_win,Draw,Winner
Group A,Qatar,Ecuador,0.32317078,0.3267341,0.35009515,0
Group A,Senegal,Netherlands,0.32317078,0.3267341,0.35009515,0
Group B,England,Iran,0.32317078,0.3267341,0.35009515,0
Group B,USA,Wales,0.31873015,0.32966197,0.35160786,0
Group C,Mexico,Poland,0.32108402,0.33517772,0.34373823,0
Group C,Argentina,Saudi Arabia,0.35234025,0.29410088,0.35355887,0
Group D,France,Australia,0.31888527,0.33512,0.34599474,0
Group D,Denmark,Tunisia,0.32317078,0.3267341,0.35009515,0
Group E,Japan,Spain,0.32378063,0.32735068,0.34886867,0
Group E,Costa Rica,Germany,0.32378063,0.32735068,0.34886867,0
Group F,Croatia,Belgium,0.31605625,0.32561713,0.35832655,0
Group F,Canada,Morocco,0.32317078,0.3267341,0.35009515,0
Group G,Serbia,Switzerland,0.32317078,0.3267341,0.35009515,0
Group G,Cameroon,Brazil,0.3088738,0.32598794,0.3651383,0
Group H,Ghana,Uruguay,0.32378063,0.32735068,0.34886867,0
Group H,Korea Republic,Portugal,0.32317078,0.3267341,0.35009515,0
